item_name,Alias,Category,Shelf Life
Pineapple Cake & Red Rose,Pineapple Eggless Cake (500 Gms),Cakes,3 Days
Pineapple Cake & Teddy,Pineapple Eggless Cake (500 Gms),Cakes,3 Days
Pineapple Eggless Cake (1 Kg),Pineapple Eggless Cake (1 Kg),Cakes,4 Days
Pineapple Eggless Cake (500 Gms),Pineapple Eggless Cake (500 Gms),Cakes,4 Days
Pineapple Pastry,Pineapple Pastry,Desserts,4 Days
Pink Carnation Bouquet,Pink Carnation Bouquet,Flowers,15 Days
Plum Cake (250 Gm),Plum Cake (250 Gm),Plum Cakes,15 Days
Plum Cake (400 Gm),Egg Plum Cake (400 Gm),Plum Cakes,30 Days
Plum Cake (800 Gm),Eggless Plum Cake (800 Gm),Plum Cakes,15 Days
Plum Cake [Eggless] (400 Gm),Eggless Plum Cake (400 Gm),Plum Cakes,15 Days
Plum Cake [Eggless] (800 Gm),Eggless Plum Cake (800 Gm),Plum Cakes,15 Days
Pyaari Maa Poster Bento Cake (300 Gm),Pyaari Maa Poster Bento Cake (300 Gm),Seasonal,3 Days
Rainbow & Choco Truffle Pastry Combo,Chocolate Truffle Pastry,Desserts,5 Days
Rainbow Cake Pastry,Rainbow Pastry,Desserts,3 Days
Ramadan Brownie Box,Ramadan Brownie Box,Desserts,5 Days
Raspberry Almond Crossiant,Raspberry Almond Crossiant,Desserts,2 Days
Rectangle Tiramisu Pastry,Rectangle Tiramisu Pastry,Desserts,3 Days
Red Velvet Cake (1 Kg),Red Velvet Cake (1 Kg),Cakes,3 Days
Red Velvet Cake (500 Gm),Red Velvet Cake (500 Gms),Cakes,3 Days
Red Velvet Cake (500 Gms),Red Velvet Cake (500 Gms),Cakes,3 Days
Red Velvet Pastry,Red Velvet Pastry,Desserts,3 Days
Royal Treat Gift Hamper,Royal Treat Gift Hamper,Hampers,30 Days
San Sebastian Cheesecake Slice,Basque Cheesecake Slice,Cheesecakes,5 Days
Set Of 2 Choco Truffle Pastry,Chocolate Truffle Pastry,Desserts,5 Days
Set Of 2 Classic Walnut Brownie,Base Brownie,Desserts,10 Days
Set Of 2 Eclairs,Hazelnut Eclairs,Desserts,2 Days
Signature Belgian Chocolate Cake (500 Gm),Signature Belgian Chocolate Cake (500 Gm),Cakes,5 Days
Single Red Rose,Single Red Rose,Valenitne Menu,2 Days
Strawberry Baked Cheesecake Jar,Cheese Cake Jar,Cheesecakes,5 Days
Strawberry Brioche Bun,Strawberry Brioche Bun,Desserts,3 Days
Strawberry Cheesecake Jar,Cheese Cake Jar,Cheesecakes,5 Days
Strawberry Cheesecake Slice,Eggless Cheesecake Slice,Cheesecakes,5 Days
Strawberry Chocolate Cake (500 Gm),Strawberry Chocolate Cake (500 Gm),Cakes,3 Days
Strawberry Chocolate Pastry,Strawberry Chocolate Pastry,Desserts,3 Days
Strawberry Custard Tub,Strawberry Custard Tub,Desserts,3 Days
Strawberry Fraisier Tub,Strawberry Fraisier Tub,Desserts,3 Days
Strawberry Tiramisu,Strawberry Tiramisu,Valenitne Menu,2 Days
Strawberry Tres Leches,Strawberry Tres Leches,Desserts,3 Days
Sugarfree Chocolate Cake (500 Gm),Sugarfree Chocolate Cake (500 Gm),Cakes,5 Days
Sugarfree Chocolate Mousse Cake (400 Gm),Sugarfree Chocolate Mousse Cake (400 Gm),Cakes,5 Days
Sugarfree Chocolate Mousse Cake (500 Gm),Sugarfree Chocolate Mousse Cake (500 Gm),Cakes,5 Days
Sugarfree Dates & Walnut Tea Cake,Sugarfree Date & Walnut Whole Wheat Cake (200 Gms),Cakes,6 Days
Teddy,Teddy,Valenitne Menu,30 Days
Tiramisu,Tiramisu,Desserts,2 Days
Tiramisu Balls,Tiramisu Balls,Desserts,3 Days
Tiramisu Cake (500 Gm),Tiramisu Cake (500 Gm),Cakes,3 Days
Tiramisu Cake (500 Gms),Tiramisu Cake (500 Gm),Cakes,3 Days
Tiramisu Croissant,Tiramisu Croissant,Desserts,2 Days
Tiramisu Ladoos,Tiramisu Balls,Desserts,3 Days
Tiramisu Pastry,Rectangle Tiramisu Pastry,Desserts,3 Days
Tiramisu Pastry & Chocolate Rocher Pastry,Tiramisu Pastry,Desserts,3 Days
Trio Mousse Cake (500 Gm),Trio Mousse Cake (500 Gm),Cakes,4 Days
Valentines Strawberry Petite Gateau,Valentines Strawberry Petite Gateau,Desserts,3 Days
Winter Spiced Tea Cake Pastry,Pumpkin Tea Cake Pastry,Desserts,3 Days
Women's Day Bento Cake (300 Gm),Women's Day Bento Cake (300 Gm),Seasonal,5 Days
Women's Day Special Truffle Cake (500 Gm),Chocolate Truffle Bento Cake (300 Gm),Cakes,5 Days
Sugrefree Dates & Walnut Tea Cake,Sugarfree Date & Walnut Whole Wheat Cake (200 Gms),Cakes,7 Days
Intense Belgian Chocolate Pastry,Intense Belgian Chocolate Pastry,Desserts,5 Days
